,AGE,ST004D01T,ST001D01T,ESCS,ICTRES,DURECEC,EXPECEDU,MISCED,IMMIG,PV1MATH,PV1READ,PV1SCIE,PV1MCCR,PV1MCQN,PV1MCSS,PV1MCUD,PV1MPEM,PV1MPFS,PV1MPRE,MATHMOT,MATHEASE,MATHPREF,MATHEFF,MATHEF21,MATHPERS,FAMCON,SDLEFF,COGACRCO,COGACMCO,CURIOAGR,ASSERAGR,COOPAGR,EMOCOAGR,EMPATAGR,PERSEVAGR,STRESAGR
15,15.67,Female,Grade 10,0.3593,-0.9492,Attended ECEC for at least one but less than two years,ISCED Level 6,ISCED level 8,Native student,414.897,453.693,492.282,412.775,451.392,434.621,392.425,415.74,396.677,356.989,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.1652,0.6945,0.1033,Not Applicable,-0.1538,0.712,2.4378,-0.0703,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16,15.83,Male,Grade 10,0.8226,Not Applicable,Attended ECEC for at least four but less than five years,ISCED level 7 ,ISCED level 8,Native student,545.761,522.14,530.829,490.022,534.304,515.169,626.572,481.175,497.683,517.492,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,No Response,No Response,-0.915,No Response,No Response,2.2269,2.4962,-0.1485,2.3029,Not Applicable,No Response,-0.3988,0.9953,-0.2845
17,15.83,Female,Grade 7,-2.1253,-1.3832,Attended ECEC for at least four but less than five years,ISCED Level 3.4,ISCED level 2,Native student,225.288,301.776,137.428,182.25,181.312,132.445,202.648,236.818,176.172,207.322,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,No Response,No Response,1.5599,-0.2985,No Response,-0.7594,-0.5835,-1.7786,Not Applicable,Not Applicable,0.504,0.2875,No Response,Not Applicable
18,15.92,Female,Grade 10,-3.2093,-2.0711,Attended ECEC for at least four but less than five years,ISCED Level 6,Less than ISCED Level 1,Native student,371.533,359.585,322.134,389.726,353.757,400.854,361.909,417.37,424.303,394.416,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.0801,-0.1837,-0.1116,Not Applicable,No Response,0.1105,0.1391,-0.5284,Not Applicable,Not Applicable,0.1944,Not Applicable,-0.3851,Not Applicable
19,15.83,Male,Grade 10,-0.5844,Not Applicable,Attended ECEC for at least three but less than four years,ISCED Level 3.4,ISCED level 2,First-Generation student,448.099,368.64,401.289,530.579,505.08,468.869,437.902,474.119,461.368,528.382,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.7996,No Response,-0.9436,0.1278,No Response,No Response,No Response,-0.8162,-0.7424,-1.1794,0.6292,0.3893,-0.6887,1.2835
20,15.67,Male,Grade 10,0.7233,Not Applicable,Attended ECEC for at least three but less than four years,ISCED Level 2,ISCED level 7,Native student,505.165,572.787,517.302,455.511,581.893,456.232,595.116,519.409,637.528,518.479,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.2874,-0.763,-0.115,-0.9696,-0.1531,0.2479,0.1136,-0.5075,-0.6705,-0.0735,-0.1833,-0.0367,-0.1936,-0.104
21,15.67,Male,Grade 10,0.6691,-0.8675,Attended ECEC for at least five but less than six years,ISCED level 7 ,ISCED level 6,Native student,244.06,185.485,275.322,252.13,220.454,171.252,254.832,279.223,285.865,289.394,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-2.2259,-1.2263,-1.7507,Not Applicable,-1.6316,-1.3019,-1.0648,-2.1715,Not Applicable,Not Applicable,1.6713,-2.2325,Not Applicable,Not Applicable
22,15.83,Female,Ungraded,0.596,-0.8326,Attended ECEC for at least three but less than four years,No Response,ISCED level 7,Native student,389.155,366.305,369.363,319.054,343.7,419.092,335.994,318.854,316.815,300.627,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-0.1308,-0.7701,-0.174,-1.1289,No Response,0.2374
23,16.08,Male,Grade 9,-0.3294,Not Applicable,No Response,ISCED Level 3.4,ISCED level 6,Second-Generation student,460.614,337.04,470.444,421.335,397.329,409.318,447.771,440.625,532.411,399.572,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,0.0161,0.7476,-0.304,Not Applicable,No Response,0.526,0.956,-0.8957,-0.1469,-1.1485,-0.0389,-0.5676,-0.1348,0.0173
24,16.0,Male,Grade 10,0.9969,1.0009,No Response,ISCED Level 8,ISCED level 6,Native student,512.77,415.353,505.069,587.564,495.671,431.999,476.066,472.579,445.886,495.312,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,1.2937,1.1527,-0.6429,1.1907,No Response,1.1245,0.9982,-0.9739,-0.1648,-1.1914,-1.4189,0.4419,-1.1348,-0.1296
25,15.33,Female,Grade 10,-1.0161,Not Applicable,Attended ECEC for at least two but less than three years,ISCED level 7 ,ISCED level 5,Second-Generation student,395.718,418.176,270.443,346.343,370.219,368.958,371.04,392.042,383.68,390.967,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-3.4216,-2.0579,-2.5602,0.2289,-0.7238,-0.075,-1.8927,-0.186,0.3091,-1.4144,-1.1209,-0.497,-0.9633,-0.4596
26,15.75,Male,Grade 11,-1.6784,0.9462,No Response,ISCED Level 6,Less than ISCED Level 1,First-Generation student,552.333,621.144,593.262,622.527,556.318,517.104,588.481,575.685,538.254,563.87,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.1522,-0.5823,-0.1672,-0.7689,0.245,-0.9252,-0.522,-0.4872,-0.745,-0.1132,-0.8285,-0.2651,-0.6519,-0.5368
27,15.42,Female,Grade 10,1.0106,1.2135,Attended ECEC for at least one but less than two years,ISCED Level 8,ISCED level 4,Native student,382.228,314.899,411.7,318.771,395.646,424.317,371.534,312.064,384.217,348.97,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.6346,-0.3787,-0.2493,Not Applicable,-0.4199,-0.4896,0.8798,0.1244,Not Applicable,Not Applicable,1.0919,1.3816,Not Applicable,Not Applicable
28,16.08,Male,Grade 9,-1.921,-2.0729,No Response,ISCED Level 3.4,ISCED level 3.4,Native student,369.364,357.003,355.729,380.345,384.531,497.563,452.327,380.433,353.303,385.929,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,Not Applicable,-0.5257,-1.1811,Not Applicable,-1.0142,-1.0205,-0.3079,-0.0302,Not Applicable,Not Applicable,0.1615,Not Applicable,Not Applicable,Not Applicable
29,15.83,Female,Grade 9,-0.3984,Not Applicable,Attended ECEC for at least four but less than five years,ISCED level 7 ,ISCED level 5,Native student,344.621,400.985,369.811,418.357,422.199,350.967,421.358,404.287,328.165,359.455,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-3.432,-2.2061,-2.0589,-2.0446,No Response,-2.5184,-1.9366,0.2179,-1.4407,Not Applicable,0.7486,-0.3749,-0.7781,0.0825
30,15.42,Female,Grade 9,0.4894,-0.3964,Attended ECEC for at least four but less than five years,ISCED Level 3.4,ISCED level 5,Native student,391.082,454.432,411.474,332.836,379.669,398.637,434.639,398.959,460.931,405.207,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.3771,-0.6403,-0.4072,-0.836,-0.2676,-0.3428,-0.2015,-0.8396,-0.7758,Not Applicable,-0.3506,1.1424,-0.3113,0.1093
31,15.67,Female,Grade 11,No Response,No Response,No Response,No Response,No Response,No Response,568.432,496.614,573.764,572.942,578.638,568.681,615.525,619.019,616.978,622.121,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
32,16.0,Male,Grade 9,-1.2172,-1.7878,Attended ECEC for at least one but less than two years,ISCED Level 8,ISCED level 3.4,Native student,528.101,502.385,523.763,442.552,515.881,556.54,517.293,534.138,473.874,513.72,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,Preference for mathematics over other subjects,-1.0353,-0.3671,-0.9102,0.212,-1.5978,0.0469,-0.0767,-0.9766,Not Applicable,Not Applicable,0.2041,-1.0171,-0.7368,Not Applicable
33,16.0,Female,Grade 9,-1.1539,Not Applicable,No Response,No Response,No Response,No Response,306.472,330.779,317.144,292.684,341.512,255.128,352.2,331.319,264.397,320.578,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
34,15.58,Male,Grade 10,-0.6159,Not Applicable,No Response,ISCED Level 5,ISCED level 6,Native student,377.306,403.817,426.142,369.302,377.518,430.378,364.19,361.109,418.82,394.71,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.8249,0.1088,-0.5284,0.295,0.5836,-0.8893,0.3943,-0.3214,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
35,15.67,Male,Grade 10,-0.6315,Not Applicable,Attended ECEC for at least two but less than three years,ISCED Level 3.3,ISCED level 7,Native student,410.687,427.61,433.062,416.77,487.531,377.497,438.524,361.448,339.797,389.808,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.7117,-0.0769,-0.1671,-1.4908,0.1657,-1.2017,-0.8232,-0.4546,-0.0297,0.0326,-0.018,-0.8071,-0.6818,0.465
36,15.5,Male,Grade 9,1.3089,0.8996,Attended ECEC for at least one but less than two years,ISCED Level 3.4,ISCED level 4,Native student,548.647,441.88,471.65,541.333,559.043,535.051,624.251,520.757,543.472,560.395,Not more motivated to do well in mathematics than other subjects,Perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,0.8624,0.5223,-0.2225,-0.1777,No Response,0.5517,-0.2774,-0.4913,-0.5646,-0.3915,0.7373,-0.6025,-0.3224,0.6833
37,16.17,Male,Grade 10,-2.8463,-2.0562,Attended ECEC for at least two but less than three years,ISCED Level 6,ISCED level 1,Native student,416.194,376.76,395.873,415.824,294.58,230.458,315.436,410.66,345.423,260.952,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.1352,0.7727,0.3069,0.838,0.1937,0.6173,1.1502,2.4564,-0.3906,Not Applicable,-0.1033,0.9043,1.488,Not Applicable
38,16.08,Female,Grade 10,-0.0806,Not Applicable,Attended ECEC for at least three but less than four years,ISCED Level 8,ISCED level 5,Native student,472.03,497.096,381.097,448.904,403.684,298.311,413.783,439.307,494.21,586.881,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,0.0634,0.0016,1.32,0.1994,0.1885,0.7168,1.305,2.3037,-0.1737,0.4396,0.1102,1.1165,0.3179,-0.6914
39,15.5,Female,Grade 10,0.5832,Not Applicable,Attended ECEC for at least four but less than five years,ISCED Level 6,ISCED level 7,Native student,481.762,502.889,501.671,480.475,426.324,358.247,394.117,390.177,434.798,412.669,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.1203,0.1044,0.0785,3.2809,0.0615,-0.0195,-1.9364,-0.3413,-0.0932,-0.3531,-1.0638,0.9272,-0.8023,-0.0837
40,16.08,Female,Grade 9,0.7095,Not Applicable,Attended ECEC for at least two but less than three years,ISCED Level 3.3,ISCED level 5,Native student,475.899,522.183,504.243,540.711,529.828,485.246,534.545,567.424,538.646,458.923,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.1496,-0.6765,-0.382,Not Applicable,0.1386,0.2419,0.1676,No Response,-0.0728,0.4605,0.2352,1.0741,-0.401,-0.0201
41,16.17,Female,Grade 10,-1.3878,Not Applicable,Attended ECEC for at least four but less than five years,ISCED Level 6,Less than ISCED Level 1,Second-Generation student,470.781,398.63,405.974,472.96,545.121,512.048,477.494,429.078,508.538,451.761,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.5144,-0.3568,0.8685,2.1267,0.2446,-0.1389,1.0051,-0.1107,0.4472,-0.2457,0.1843,1.0541,-0.395,0.0208
42,15.67,Male,Grade 11,0.9041,1.0712,No Response,ISCED Level 6,ISCED level 3.3,Native student,561.915,637.123,503.803,535.308,557.782,523.427,559.401,492.849,403.441,522.127,Not more motivated to do well in mathematics than other subjects,Perception of mathematics as easier than other subjects,Preference for mathematics over other subjects,-0.5485,0.1908,-0.8348,-0.2038,-1.3568,0.6078,2.3227,-0.4772,0.6082,0.0348,0.0506,-0.257,-1.2249,0.7847
43,15.67,Male,Grade 9,0.2705,Not Applicable,No Response,No Response,ISCED level 4,Second-Generation student,436.701,445.271,433.595,444.798,471.993,479.893,429.885,401.743,491.994,499.767,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,Not Applicable,-0.6106,-1.1169,Not Applicable,-0.4051,-0.1825,0.2324,-0.0766,Not Applicable,Not Applicable,0.0281,Not Applicable,Not Applicable,Not Applicable
44,16.08,Female,Grade 10,-0.141,-1.6511,Attended ECEC for at least two but less than three years,ISCED Level 8,ISCED level 5,Native student,442.933,417.352,447.441,436.707,396.02,478.348,466.274,512.645,428.556,497.862,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.3656,1.3155,2.0755,3.6052,-0.9585,1.1436,1.7243,3.4716,0.9547,1.8091,1.705,3.2161,3.7994,3.8214
45,15.33,Female,Grade 9,1.1023,0.0,Attended ECEC for at least two but less than three years,ISCED level 7 ,ISCED level 6,Native student,666.134,563.189,668.287,617.006,663.155,662.825,678.789,603.603,630.999,603.587,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.1753,0.2431,0.0325,Not Applicable,0.6637,-0.7897,-0.5447,0.2033,0.3968,0.1689,0.3913,-0.4441,-0.119,0.5463
46,16.17,Female,Grade 10,0.1274,0.2327,Attended ECEC for at least five but less than six years,ISCED Level 6,ISCED level 6,Native student,451.951,530.093,541.031,473.731,397.12,489.648,512.944,508.967,450.736,525.024,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.0139,-1.1793,-0.4709,-0.3978,-2.3189,1.6312,0.5446,0.382,0.0204,Not Applicable,-0.8761,0.3275,-0.2601,Not Applicable
47,15.58,Female,Grade 10,-0.022,Not Applicable,Attended ECEC for at least two but less than three years,ISCED Level 8,ISCED level 6,Native student,473.551,502.035,466.196,392.736,419.025,431.883,425.925,450.656,431.731,440.156,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.2336,0.062,-1.0349,Not Applicable,No Response,0.5435,0.2131,0.3671,Not Applicable,Not Applicable,-1.8268,3.1108,Not Applicable,Not Applicable
48,15.33,Female,Grade 8,-0.3519,Not Applicable,No Response,ISCED Level 8,ISCED level 3.4,Native student,626.433,624.142,717.6,570.092,583.144,595.239,609.817,637.305,658.819,650.196,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,Preference for mathematics over other subjects,1.2747,-0.0238,0.3747,-0.7112,0.0442,-0.7221,0.116,-0.2022,0.4154,-0.2189,-0.0168,0.5131,0.6729,-0.2809
49,16.08,Male,Grade 9,-0.6523,Not Applicable,Attended ECEC for at least three but less than four years,ISCED Level 4,ISCED level 5,Native student,300.453,350.111,298.983,269.925,333.766,318.811,237.907,351.848,368.588,414.284,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.5949,-0.6185,-0.5067,Not Applicable,No Response,-0.412,0.1665,0.0904,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
50,15.92,Male,Grade 8,0.0027,-1.4337,No Response,ISCED Level 2,ISCED level 5,Native student,443.561,484.597,545.498,462.841,425.863,425.321,440.037,436.291,346.53,485.476,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,No Response,-1.7864,-0.731,Not Applicable,No Response,0.5338,-0.3777,-0.2155,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
51,16.08,Male,Grade 10,1.4001,0.9882,Attended ECEC for at least four but less than five years,ISCED level 7 ,ISCED level 7,Native student,347.911,290.301,327.431,428.104,372.207,369.63,376.404,450.292,381.49,385.741,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,0.114,-0.303,0.327,-0.0476,0.1906,0.048,0.053,-0.1019,1.0402,-0.1717,0.5342,0.2078,0.401,-0.1347
52,15.67,Female,Grade 10,-1.7689,Not Applicable,No Response,ISCED Level 6,ISCED level 3.3,Native student,291.395,252.123,315.988,232.966,260.615,194.736,311.31,269.903,318.905,229.006,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,Not Applicable,-2.143,-0.8015,Not Applicable,-2.228,-2.8109,1.3965,-1.4514,Not Applicable,Not Applicable,No Response,Not Applicable,Not Applicable,Not Applicable
53,15.42,Male,Grade 10,1.2313,Not Applicable,Attended ECEC for at least three but less than four years,ISCED Level 8,ISCED level 8,Second-Generation student,692.295,650.115,646.594,660.112,678.186,709.405,691.715,678.577,680.088,681.551,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,Preference for mathematics over other subjects,0.809,0.2517,-0.0759,2.0267,No Response,0.0482,-1.1074,0.9907,-0.2617,-0.8162,0.4711,0.4097,0.4717,0.0251
54,16.08,Male,Grade 10,-0.0352,Not Applicable,Attended ECEC for at least four but less than five years,ISCED Level 6,ISCED level 3.4,Native student,669.232,586.418,712.219,676.386,666.673,697.31,668.534,675.025,736.021,721.993,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,0.509,0.8928,2.0379,4.3516,0.2043,-0.1348,0.259,3.5787,0.9528,0.9274,0.1657,-0.1751,-1.1118,0.224
55,15.33,Male,Grade 9,-1.2796,Not Applicable,No Response,ISCED Level 3.4,ISCED level 4,Native student,695.453,626.776,660.438,645.833,693.192,653.345,673.975,715.01,738.099,714.964,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,Preference for mathematics over other subjects,1.343,2.8671,-0.5501,1.1699,0.1657,0.3381,0.4451,-0.3651,0.5366,-0.0303,No Response,1.4011,1.7562,-0.2851
56,15.33,Male,Grade 10,-1.0298,Not Applicable,No Response,ISCED Level 3.3,ISCED level 1,Native student,428.983,367.902,294.612,405.307,466.069,406.509,383.328,479.656,399.108,434.696,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-2.287,-0.4344,2.1465,-0.566,-0.9304,-0.5608,0.8847,0.5773,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
57,15.92,Female,Grade 9,-0.0681,Not Applicable,No Response,No Response,ISCED level 7,No Response,507.069,580.5,604.511,578.232,580.382,644.993,583.252,504.631,552.875,560.929,More motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.2664,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
58,16.08,Male,Grade 10,0.0358,1.4058,Attended ECEC for at least one but less than two years,ISCED Level 8,ISCED level 7,Second-Generation student,572.846,566.838,550.499,498.446,547.583,514.811,436.079,542.897,602.662,655.024,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,1.3691,1.8521,0.4903,Not Applicable,0.6749,0.455,-0.0836,1.7677,Not Applicable,Not Applicable,0.4605,1.855,Not Applicable,Not Applicable
